GeneralsAbility
name, army, navy, war_ability, intelligence, politicial_ability, charm
黃權, 71, 78, 45, 77, 82, 68
孔秀, 62, 21, 71, 44, 46, 44
高順, 58, 20, 53, 50, 44, 77
侯成, 71, 17, 68, 37, 40, 29
侯選, 58, 28, 63, 33, 30, 56
黃祖, 63, 25, 61, 52, 40, 37
公孫越, 49, 50, 69, 38, 40, 54
公孫淵, 65, 76, 73, 55, 54, 76
公孫恭, 64, 79, 68, 70, 57, 65
公孫康, 76, 61, 66, 61, 65, 74
公孫瓚, 68, 24, 63, 71, 71, 53
公孫修, 50, 33, 68, 45, 63, 42
公孫度, 81, 66, 80, 60, 45, 77
孔伷, 60, 16, 63, 60, 42, 42
黃忠, 99, 84, 95, 60, 56, 57
高定, 75, 33, 69, 19, 21, 39
高沛, 46, 22, 67, 38, 48, 46
耿武, 22, 32, 49, 50, 75, 52
皇甫嵩, 59, 27, 78, 65, 81, 79
孔融, 66, 53, 49, 84, 78, 94
高覽, 67, 60, 78, 42, 40, 74
伍瓊, 38, 17, 53, 62, 64, 45
吳景, 58, 24, 61, 64, 53, 59
胡才, 70, 22, 62, 62, 57, 47
吳質, 36, 24, 46, 68, 82, 64
胡車兒, 65, 29, 81, 66, 32, 74
伍習, 77, 78, 79, 55, 48, 70
吳子蘭, 66, 29, 77, 57, 55, 81
胡軫, 34, 15, 58, 30, 30, 11
吳碩, 58, 27, 55, 66, 72, 60
胡赤兒, 69, 28, 69, 39, 42, 32
吳敦, 63, 28, 58, 64, 63, 50
胡班, 71, 27, 72, 52, 54, 65
吳班, 71, 14, 59, 56, 42, 55
顧雍, 7, 13, 22, 81, 66, 70
吳蘭, 87, 81, 84, 47, 37, 52
蔡和, 39, 21, 59, 49, 44, 41
蔡勳, 64, 30, 71, 64, 57, 52
蔡中, 29, 27, 42, 43, 31, 33
蔡瑁, 74, 95, 61, 68, 68, 49
崔勇, 47, 28, 65, 62, 37, 23
蔡邕, 35, 3, 40, 56, 73, 59
蔡陽, 61, 27, 61, 43, 29, 46
蔡融, 39, 19, 50, 60, 61, 33
左靈, 46, 23, 61, 69, 76, 38
史渙, 59, 32, 67, 44, 45, 42
史蹟, 65, 45, 71, 68, 42, 57
司馬懿, 94, 75, 46, 98, 87, 73
司馬炎, 81, 66, 87, 69, 45, 53
司馬師, 79, 80, 58, 91, 85, 70
司馬昭, 67, 71, 60, 76, 89, 73
司馬朗, 31, 33, 34, 63, 89, 58
謝旌, 84, 65, 80, 16, 30, 23
車胄, 60, 65, 70, 65, 54, 79
沙摩可, 79, 79, 91, 18, 7, 38
周昕, 62, 13, 79, 39, 32, 28
周善, 43, 57, 74, 44, 32, 64
周倉, 72, 78, 84, 35, 23, 58
周泰, 77, 71, 91, 43, 50, 60
周魴, 47, 30, 52, 73, 76, 68
周瑜, 79, 96, 84, 91, 80, 94
朱桓, 84, 79, 92, 74, 70, 76
朱光, 74, 25, 83, 38, 46, 70
朱讚, 64, 80, 74, 46, 53, 74
朱雋, 71, 80, 74, 59, 78, 76
朱然, 70, 78, 71, 36, 34, 52
朱治, 44, 48, 60, 53, 40, 39
朱褒, 55, 40, 68, 63, 63, 8
朱靈, 70, 32, 77, 40, 29, 36
荀彧, 60, 57, 32, 92, 95, 80
淳于瓊, 64, 23, 78, 64, 60, 65
荀惲, 45, 10, 43, 49, 71, 79
荀諶, 38, 7, 41, 56, 79, 58
荀爽, 42, 16, 49, 65, 86, 84
荀攸, 63, 64, 38, 94, 77, 69
蔣琬, 81, 61, 68, 84, 79, 82
鍾會, 76, 83, 60, 90, 74, 71
蔣奇, 62, 27, 66, 48, 37, 41
蔣義渠, 57, 33, 72, 30, 35, 60
尚攀, 22, 1, 25, 77, 83, 52
蔣欽, 58, 75, 57, 57, 61, 57
尚弘, 46, 19, 52, 58, 54, 70
焦触, 71, 17, 72, 35, 34, 43
向寵, 85, 77, 35, 81, 78, 70
鐘繇, 19, 12, 12, 66, 85, 29
向朗, 48, 18, 64, 45, 54, 44
徐榮, 29, 17, 60, 42, 53, 45
諸葛恪, 62, 75, 60, 94, 78, 71
諸葛謹, 49, 36, 52, 88, 74, 90
諸葛誕, 75, 70, 57, 69, 54, 77
諸葛亮, 88, 79, 69, 97, 91, 94
徐晃, 91, 68, 89, 41, 40, 57
徐庶, 83, 83, 74, 93, 79, 79
徐商, 56, 19, 63, 46, 45, 58
徐盛, 51, 32, 59, 77, 85, 80
審榮, 44, 17, 47, 47, 52, 45
沈瑩, 79, 75, 74, 44, 44, 65
秦琪, 63, 28, 63, 43, 55, 34
申儀, 54, 21, 75, 45, 49, 38
岑昏, 38, 7, 41, 52, 73, 23
任峻, 63, 16, 63, 55, 53, 56
申耽, 54, 38, 70, 58, 51, 57
審配, 74, 63, 70, 62, 75, 68
辛毘, 38, 12, 52, 83, 82, 83
辛評, 54, 21, 71, 56, 57, 62
辛明, 54, 33, 57, 45, 46, 70
秦良, 68, 19, 73, 39, 49, 65
秦朗, 69, 30, 71, 37, 22, 48
鄒靖, 56, 27, 69, 63, 52, 63
成宜, 64, 23, 61, 45, 31, 34
成廉, 68, 11, 73, 33, 21, 60
薛瑩, 43, 9, 38, 65, 77, 53
薛綜, 27, 9, 27, 65, 65, 55
薛悌, 47, 19, 57, 71, 65, 56
薛蘭, 56, 28, 53, 43, 42, 38
薛禮, 56, 32, 67, 57, 42, 75
全綜, 71, 77, 82, 79, 37, 70
曹安民, 55, 24, 64, 71, 50, 72
曹宇, 56, 14, 70, 62, 44, 76
曹叡, 62, 66, 69, 86, 71, 67
宋果, 53, 26, 56, 43, 40, 46
曹奐, 37, 19, 43, 45, 46, 53
曹羲, 53, 20, 55, 59, 50, 52
曹休, 72, 76, 73, 63, 48, 79
曹訓, 75, 81, 79, 70, 49, 79
宋憲, 46, 45, 56, 40, 35, 37
宋謙, 71, 60, 69, 35, 22, 56
曹彥, 56, 32, 74, 56, 74, 54
曹洪, 80, 80, 64, 56, 37, 79
曹昂, 62, 6, 67, 63, 54, 65
曹純, 56, 18, 58, 56, 52, 45
曹彰, 91, 66, 9, 39, 33, 78
曹植, 3, 15, 10, 83, 75, 76
曹真, 82, 65, 66, 64, 39, 70
曹仁, 84, 69, 79, 65, 58, 76
曹性, 74, 34, 64, 49, 45, 40
曹操, 89, 58, 97, 90, 89, 96
曹爽, 54, 25, 60, 44, 56, 63
宋忠, 19, 20, 25, 45, 50, 59
藏霸, 51, 24, 58, 45, 33, 69
曹丕, 60, 18, 73, 68, 73, 74
曹豹, 56, 28, 53, 17, 22, 26
宋寶, 49, 23, 85, 60, 57, 88
曹芳, 37, 15, 50, 53, 48, 61
曹髦, 65, 14, 68, 43, 40, 29
曹熊, 57, 16, 61, 56, 55, 37
沮鵠, 69, 14, 73, 54, 40, 71
沮授, 81, 64, 55, 83, 71, 82
蘇飛, 71, 31, 59, 33, 26, 71
祖茂, 62, 60, 70, 72, 65, 82
蘇由, 69, 29, 49, 41, 23, 50
孫異, 58, 91, 68, 60, 56, 79
孫和, 40, 28, 32, 52, 64, 90
孫覲, 61, 52, 73, 57, 30, 27
孫恒, 56, 73, 64, 42, 51, 73
孫冀, 62, 91, 68, 75, 55, 67
孫休, 48, 22, 49, 66, 57, 59
孫匡, 56, 30, 64, 52, 77, 53
孫堅, 76, 90, 95, 94, 72, 86
孫乾, 34, 13, 44, 74, 60, 85
孫權, 73, 91, 92, 96, 64, 93
孫策, 73, 14, 79, 64, 56, 39
孫秀, 52, 77, 72, 64, 58, 90
孫韶, 68, 72, 66, 37, 26, 74
孫靜, 70, 38, 65, 68, 51, 64
孫登, 37, 16, 33, 51, 60, 87
孫瑜, 64, 49, 74, 57, 47, 67
孫翊, 72, 56, 82, 43, 43, 54
孫亮, 16, 13, 33, 77, 70, 82
孫禮, 59, 27, 74, 60, 55, 66
孫朗, 59, 43, 65, 53, 69, 54
太史慈, 86, 74, 94, 66, 61, 79
卓庸, 71, 33, 66, 48, 31, 48
朵思王, 71, 25, 67, 49, 42, 29
譚雄, 77, 49, 72, 17, 19, 25
張允, 45, 24, 57, 52, 58, 45
趙雲, 96, 75, 98, 78, 87, 89
張英, 50, 26, 73, 52, 48, 45
張衛, 65, 27, 68, 35, 24, 73
趙叡, 55, 22, 58, 64, 51, 69
張燕, 74, 70, 61, 55, 37, 85
張橫, 63, 28, 77, 41, 25, 19
張溫, 14, 18, 22, 51, 67, 81
張闓, 59, 39, 59, 40, 23, 32
張顗, 64, 25, 59, 52, 47, 24
張休, 38, 30, 34, 61, 87, 71
張嶷, 59, 20, 71, 67, 30, 69
趙衢, 53, 28, 55, 55, 55, 51
張勳, 70, 64, 78, 63, 53, 76
張虎, 60, 23, 70, 50, 55, 39
張郃, 88, 68, 82, 53, 57, 60
趙昂, 74, 63, 82, 43, 57, 70
張絃, 26, 37, 33, 79, 90, 95
趙廣, 73, 74, 72, 55, 62, 70
張濟, 84, 79, 77, 66, 59, 66
張繡, 66, 20, 79, 45, 41, 59
張松, 38, 15, 42, 89, 90, 72
張昭, 28, 29, 28, 94, 94, 84
張承, 69, 30, 72, 31, 34, 63
趙岑, 67, 17, 55, 26, 12, 37
張任, 89, 76, 96, 73, 67, 82
張先, 58, 21, 73, 52, 30, 50
張達, 29, 25, 60, 28, 38, 19
張著, 45, 30, 65, 25, 41, 32
趙統, 60, 20, 71, 74, 49, 75
張南, 57, 9, 46, 56, 33, 62
張邈, 43, 37, 65, 27, 21, 41
趙範, 58, 13, 50, 52, 48, 45
張飛, 93, 74, 98, 36, 15, 30
張苞, 75, 76, 91, 34, 25, 49
張楊, 56, 30, 57, 61, 47, 85
張翼, 73, 61, 76, 52, 26, 80
張遼, 87, 78, 88, 73, 59, 88
趙累, 45, 10, 57, 77, 68, 73
張魯, 81, 64, 82, 86, 76, 87
陳橫, 46, 32, 61, 52, 35, 47
陳応, 53, 31, 63, 19, 24, 31
陳紀, 53, 18, 72, 52, 27, 55
陳宮, 92, 84, 57, 70, 64, 62
陳矯, 25, 13, 25, 73, 70, 70
陳群, 80, 69, 43, 88, 86, 67
陳珪, 28, 17, 33, 65, 80, 71
陳就, 36, 64, 61, 43, 39, 56
陳式, 65, 32, 76, 24, 29, 45
陳震, 38, 11, 41, 59, 83, 48
陳生, 53, 26, 73, 39, 31, 45
陳奉, 78, 76, 74, 80, 71, 69
陳登, 21, 18, 22, 70, 80, 73
陳武, 53, 36, 71, 65, 39, 28
陳蘭, 55, 24, 69, 27, 20, 33
陳琳, 52, 47, 33, 79, 56, 63
程昱, 80, 68, 20, 94, 73, 85
程銀, 65, 14, 64, 34, 20, 42
鄺度, 26, 6, 26, 47, 78, 50
程普, 69, 78, 64, 85, 70, 91
程武, 63, 68, 39, 84, 61, 68
程秉, 19, 17, 20, 59, 67, 79
丁奉, 63, 71, 82, 68, 74, 79
典韋, 91, 66, 95, 27, 24, 48
田章, 47, 15, 62, 46, 31, 50
田統, 52, 24, 70, 48, 31, 34
田疇, 78, 76, 79, 56, 66, 69
田豐, 98, 68, 36, 94, 64, 73
典滿, 67, 27, 79, 35, 28, 45
董允, 61, 65, 30, 78, 85, 64
鄧艾, 80, 85, 90, 92, 74, 78
鄧義, 43, 22, 62, 29, 29, 57
陶謙, 51, 30, 47, 58, 59, 73
鄧賢, 58, 25, 76, 72, 80, 59
董璝, 62, 17, 61, 51, 54, 39
董衡, 67, 72, 76, 50, 47, 83
鄧芝, 69, 61, 44, 80, 82, 92
董襲, 72, 40, 74, 32, 46, 60
董承, 63, 72, 63, 56, 53, 68
董昭, 46, 13, 62, 57, 86, 65
董卓, 88, 25, 87, 64, 45, 41
董茶奴, 53, 20, 56, 10, 2, 6
董旻, 42, 25, 68, 48, 22, 38
鄧龍, 70, 27, 65, 54, 28, 53
董和, 53, 23, 70, 53, 65, 52
杜襲, 65, 15, 64, 61, 59, 63
馬延, 52, 26, 64, 37, 41, 60
馬漢, 61, 32, 62, 32, 29, 50
馬玩, 46, 31, 56, 49, 19, 18
馬休, 51, 35, 63, 44, 20, 27
馬遵, 70, 11, 72, 67, 55, 75
馬謖, 77, 79, 65, 89, 68, 61
馬岱, 77, 73, 91, 51, 49, 68
馬忠, 50, 39, 62, 49, 39, 43
馬超, 80, 68, 97, 35, 47, 56
馬鐵, 52, 19, 59, 46, 27, 55
馬騰, 96, 40, 92, 55, 45, 80
馬良, 81, 63, 50, 74, 88, 92
范疆, 34, 18, 51, 34, 20, 18
潘濬, 56, 18, 60, 55, 34, 33
潘璋, 65, 44, 66, 32, 33, 64
樊稠, 74, 31, 75, 22, 28, 50
樊能, 54, 29, 43, 50, 42, 61
潘鳳, 71, 32, 84, 28, 19, 14
費禕, 32, 14, 35, 68, 92, 91
卑衍, 76, 65, 69, 52, 48, 67
費觀, 40, 21, 59, 52, 40, 44
費詩, 24, 17, 38, 49, 67, 62
糜竺, 28, 11, 31, 55, 69, 82
糜芳, 58, 16, 69, 32, 14, 18
武安國, 68, 34, 73, 21, 20, 20
傅嬰, 75, 70, 65, 54, 42, 72
傅幹, 35, 23, 44, 67, 74, 51
傅士仁, 48, 23, 50, 32, 22, 21
傅巽, 44, 20, 36, 70, 81, 52
傅彤, 69, 18, 66, 70, 69, 77
文欽, 77, 22, 72, 26, 25, 56
文醜, 87, 76, 90, 14, 15, 53
文聘, 72, 62, 93, 28, 19, 69
卞喜, 70, 28, 68, 50, 59, 34
逢紀, 64, 69, 57, 72, 67, 48
龐義, 29, 16, 41, 64, 78, 62
龐柔, 73, 11, 77, 61, 51, 32
鮑信, 47, 19, 66, 37, 29, 44
法正, 61, 57, 56, 91, 86, 73
鮑忠, 56, 25, 71, 36, 46, 55
龐統, 90, 78, 50, 95, 88, 79
龐德, 82, 72, 90, 71, 63, 70
鮑隆, 67, 29, 62, 32, 22, 42
步鴦, 15, 13, 22, 74, 79, 73
滿寵, 74, 76, 44, 84, 66, 90
毛玠, 52, 59, 49, 40, 41, 43
孟獲, 83, 70, 93, 23, 9, 43
孟達, 70, 69, 71, 63, 67, 77
孟坦, 53, 18, 65, 46, 47, 24
孟優, 70, 30, 90, 12, 13, 22
楊懷, 66, 30, 70, 34, 23, 66
雍闓, 68, 25, 79, 34, 36, 58
楊琦, 45, 22, 43, 64, 74, 73
楊儀, 65, 69, 78, 68, 74, 63
羊祜, 92, 73, 39, 86, 80, 75
楊昂, 54, 30, 66, 28, 18, 16
楊洪, 19, 9, 50, 66, 57, 40
楊秋, 57, 13, 63, 16, 14, 32
楊醜, 50, 12, 59, 49, 19, 17
楊修, 20, 15, 26, 65, 82, 49
楊松, 29, 21, 37, 49, 42, 33
楊任, 51, 30, 52, 63, 50, 43
楊祚, 80, 70, 67, 46, 38, 41
楊柏, 56, 17, 68, 40, 28, 40
楊彪, 51, 23, 57, 54, 75, 64
楊阜, 75, 25, 61, 66, 62, 58
楊奉, 48, 13, 58, 45, 26, 56
楊密, 27, 4, 39, 63, 81, 84
楊齡, 52, 18, 57, 68, 59, 62
雷銅, 85, 80, 94, 47, 37, 45
雷薄, 58, 14, 58, 47, 16, 7
駱統, 39, 19, 42, 67, 73, 30
李異, 63, 41, 70, 14, 20, 35
李恢, 62, 64, 61, 91, 74, 70
李傕, 40, 13, 56, 43, 32, 20
李樂, 56, 26, 77, 49, 57, 34
李堪, 58, 19, 68, 45, 34, 56
陸抗, 62, 93, 87, 77, 71, 78
陸績, 32, 33, 25, 61, 57, 67
陸遜, 81, 99, 84, 90, 95, 96
李珪, 14, 7, 37, 54, 63, 66
李嚴, 63, 80, 72, 80, 50, 67
李儒, 83, 78, 33, 90, 74, 38
李肅, 42, 26, 56, 59, 76, 39
李暹, 53, 16, 84, 64, 46, 25
李通, 63, 28, 65, 48, 37, 44
李典, 76, 60, 76, 56, 35, 55
李孚, 42, 28, 46, 69, 72, 59
李別, 58, 20, 66, 37, 40, 21
李豐, 57, 35, 67, 35, 18, 42
李封, 52, 16, 74, 46, 36, 54
李蒙, 67, 26, 67, 64, 50, 20
劉永, 48, 11, 44, 72, 66, 61
劉焉, 29, 13, 47, 81, 74, 93
劉延, 42, 12, 50, 41, 64, 27
劉璝, 49, 15, 57, 56, 73, 18
劉琦, 58, 46, 34, 68, 81, 73
劉勲, 46, 28, 61, 51, 56, 59
劉賢, 43, 18, 59, 60, 61, 39
劉峻, 65, 26, 62, 60, 49, 43
劉循, 61, 33, 64, 40, 32, 65
劉璋, 47, 16, 53, 61, 55, 90
劉諶, 56, 17, 59, 70, 67, 76
劉先, 44, 16, 51, 48, 77, 44
劉禪, 22, 5, 27, 25, 35, 59
劉琮, 60, 6, 67, 53, 72, 39
劉岱, 69, 37, 65, 51, 35, 19
劉度, 41, 17, 46, 59, 61, 54
劉巴, 58, 30, 59, 60, 64, 45
劉磐, 55, 36, 63, 50, 54, 57
劉備, 70, 35, 71, 74, 74, 94
劉表, 60, 70, 70, 60, 84, 73
劉豹, 16, 10, 16, 56, 70, 55
劉辟, 63, 18, 70, 62, 52, 70
楊甫, 33, 23, 41, 62, 74, 52
劉封, 41, 26, 62, 53, 58, 49
劉繇, 27, 14, 12, 32, 57, 27
劉曄, 74, 70, 40, 76, 69, 73
劉理, 52, 9, 38, 59, 74, 71
呂威璜, 62, 20, 71, 54, 46, 36
廖化, 45, 22, 71, 62, 43, 60
梁寬, 59, 22, 69, 41, 38, 28
梁興, 65, 22, 65, 48, 22, 18
梁剛, 44, 19, 58, 26, 33, 63
凌操, 80, 76, 93, 29, 17, 52
凌統, 65, 64, 73, 73, 54, 69
廖立, 43, 26, 39, 68, 76, 61
呂凱, 36, 12, 38, 59, 81, 70
呂義, 66, 76, 69, 65, 62, 71
呂虔, 66, 29, 75, 19, 20, 57
呂建, 54, 22, 72, 66, 44, 61
呂公, 33, 16, 60, 29, 40, 52
呂曠, 62, 31, 77, 27, 22, 51
呂翔, 68, 39, 85, 22, 20, 52
呂常, 57, 32, 70, 39, 22, 54
呂範, 27, 20, 25, 79, 68, 71
呂布, 75, 83, 98, 15, 4, 13
呂蒙, 74, 94, 76, 86, 72, 90
倫直, 43, 34, 48, 64, 58, 64
冷苞, 72, 30, 72, 26, 18, 61
魯肅, 68, 78, 51, 92, 85, 97
路昭, 58, 28, 63, 39, 41, 42
